latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,khg_id,nama_khg,provinsi,kabupaten,peat_depth,depth_cm,fungsi_zona,luas_ha,is_peatland,peat_hazard_multiplier,nearest_station_city,nearest_station_province,station_dist_km,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_temperature_0_to_7cm
0.92376,110.29186,332.57,0.52,0.41,2024-08-01,546,N20,VIIRS,n,2,293.7,3.78,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Singkawang,Kalimantan Barat,144.95893310539165,0.136,0.072,0.116,28.0
0.92822,110.29582,345.77,0.51,0.41,2024-08-01,546,N20,VIIRS,n,2,296.31,7.5,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Singkawang,Kalimantan Barat,145.40738701957756,0.136,0.072,0.116,28.0
0.92754,110.29124,334.15,0.52,0.41,2024-08-01,546,N20,VIIRS,n,2,293.23,7.5,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Singkawang,Kalimantan Barat,144.897627815577,0.136,0.072,0.116,28.0
0.92685,110.28667,332.47,0.52,0.41,2024-08-01,546,N20,VIIRS,n,2,294.56,4.24,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Singkawang,Kalimantan Barat,144.38898719291456,0.136,0.072,0.116,28.0
0.93269,110.29981,330.02,0.51,0.41,2024-08-01,546,N20,VIIRS,n,2,294.27,4.29,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Singkawang,Kalimantan Barat,145.86082187174256,0.136,0.072,0.116,28.0
0.92845,110.29747,334.89,0.51,0.41,2024-08-01,546,N20,VIIRS,n,2,296.18,11.51,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Singkawang,Kalimantan Barat,145.5910079630873,0.136,0.072,0.116,28.0
0.93295,110.30145,331.12,0.51,0.41,2024-08-01,546,N20,VIIRS,n,2,294.21,2.88,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Singkawang,Kalimantan Barat,146.04348270102747,0.136,0.072,0.116,28.0
0.88037,109.63265,337.93,0.56,0.43,2024-08-01,546,N20,VIIRS,n,2,287.24,7.29,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Singkawang,Kalimantan Barat,71.8083208367629,0.136,0.072,0.116,28.0
0.8939,109.58916,331.03,0.57,0.43,2024-08-01,546,N20,VIIRS,n,2,289.57,5.11,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Singkawang,Kalimantan Barat,66.94615336728317,0.136,0.072,0.116,28.0
0.88538,109.53335,336.24,0.57,0.43,2024-08-01,546,N20,VIIRS,n,2,290.35,59.74,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Singkawang,Kalimantan Barat,60.7737771353482,0.136,0.072,0.116,28.0
1.04088,110.1981,337.87,0.52,0.41,2024-08-01,546,N20,VIIRS,n,2,294.49,6.35,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Singkawang,Kalimantan Barat,135.40855452468466,0.136,0.072,0.116,28.0
2.25244,117.95123,336.3,0.51,0.41,2024-08-01,546,N20,VIIRS,n,2,296.88,19.22,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Berau,Kalimantan Timur,52.97766510889665,0.39,0.383,0.369,27.2
0.55725,110.14596,337.84,0.53,0.42,2024-08-01,546,N20,VIIRS,n,2,292.26,7.51,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Pontianak,Kalimantan Barat,110.22465292068796,0.357,0.253,0.305,27.0
-0.53417,116.40623,332.78,0.41,0.37,2024-08-01,546,N20,VIIRS,n,2,297.54,2.9,D,0,KHG_KI_01,KHG S. Mahakam - S. Kedang Kepala,KALIMANTAN TIMUR,Kutai Kartanegara,Sedang (100-200 cm),160,Fungsi Lindung Ekosistem Gambut,128500.0,1,1.15,Samarinda,Kalimantan Timur,81.96465137197885,0.386,0.381,0.382,27.2
-0.53889,115.77791,331.22,0.39,0.37,2024-08-01,546,N20,VIIRS,n,2,296.17,4.74,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Balikpapan,Kalimantan Timur,142.3320620750792,0.37,0.365,0.347,27.7
-0.40763,116.22231,333.37,0.41,0.37,2024-08-01,546,N20,VIIRS,n,2,294.59,3.81,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Samarinda,Kalimantan Timur,102.719922552703,0.386,0.381,0.382,27.2
-0.14864,117.10036,337.57,0.44,0.38,2024-08-01,546,N20,VIIRS,n,2,298.32,4.39,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Samarinda,Kalimantan Timur,38.7223692026613,0.386,0.381,0.382,27.2
-0.13378,116.9398,339.34,0.43,0.38,2024-08-01,546,N20,VIIRS,n,2,294.43,4.54,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Samarinda,Kalimantan Timur,46.01748359491646,0.386,0.381,0.382,27.2
0.49182,117.50387,346.14,0.46,0.39,2024-08-01,546,N20,VIIRS,n,2,297.25,10.41,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Samarinda,Kalimantan Timur,116.58770732900317,0.386,0.381,0.382,27.2
-0.24846,111.92082,351.9,0.44,0.38,2024-08-01,546,N20,VIIRS,n,2,298.7,25.34,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,60.58733794543218,0.358,0.318,0.324,27.1
-0.24494,111.9203,336.83,0.44,0.38,2024-08-01,546,N20,VIIRS,n,2,299.4,16.11,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,60.31709314570381,0.358,0.318,0.324,27.1
-0.23204,111.93443,348.37,0.44,0.38,2024-08-01,546,N20,VIIRS,n,2,296.66,12.02,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,60.82897190053852,0.358,0.318,0.324,27.1
-0.23321,111.92657,342.79,0.44,0.38,2024-08-01,546,N20,VIIRS,n,2,297.54,5.35,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,60.16760186004521,0.358,0.318,0.324,27.1
-0.31391,110.96004,343.68,0.49,0.4,2024-08-01,546,N20,VIIRS,n,2,301.97,45.55,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,70.73353236001783,0.358,0.318,0.324,27.1
-0.32551,110.80752,331.84,0.5,0.41,2024-08-01,546,N20,VIIRS,n,2,294.43,4.89,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,85.60468035902387,0.358,0.318,0.324,27.1
-0.30313,110.85519,337.54,0.5,0.41,2024-08-01,546,N20,VIIRS,n,2,295.18,10.75,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,79.78478790660026,0.358,0.318,0.324,27.1
-0.28764,110.93336,341.96,0.49,0.4,2024-08-01,546,N20,VIIRS,n,2,295.41,20.8,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,71.50740244968603,0.358,0.318,0.324,27.1
-0.30685,110.80476,334.66,0.5,0.41,2024-08-01,546,N20,VIIRS,n,2,295.51,7.22,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,84.8455128545297,0.358,0.318,0.324,27.1
-0.27525,110.86358,344.58,0.5,0.41,2024-08-01,546,N20,VIIRS,n,2,296.77,9.11,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,77.4346745810622,0.358,0.318,0.324,27.1
-0.2771,110.86446,344.07,0.5,0.41,2024-08-01,546,N20,VIIRS,n,2,295.56,9.26,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,77.44948044125134,0.358,0.318,0.324,27.1
-0.20543,110.96139,339.64,0.49,0.4,2024-08-01,546,N20,VIIRS,n,2,297.52,13.31,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,64.1967926622907,0.358,0.318,0.324,27.1
0.01954,112.08432,341.18,0.43,0.38,2024-08-01,546,N20,VIIRS,n,2,300.52,34.84,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,68.01279550161127,0.358,0.318,0.324,27.1
0.95415,117.91212,335.5,0.49,0.4,2024-08-01,546,N20,VIIRS,n,2,284.47,5.32,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Berau,Kalimantan Timur,142.83165831091813,0.39,0.383,0.369,27.2
-0.13864,110.68584,331.7,0.5,0.41,2024-08-01,546,N20,VIIRS,n,2,295.34,9.41,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,90.24226417486061,0.358,0.318,0.324,27.1
-0.09448,110.85216,341.52,0.49,0.41,2024-08-01,546,N20,VIIRS,n,2,297.07,15.97,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,71.14181342098414,0.358,0.318,0.324,27.1
-0.06769,110.66745,331.46,0.5,0.41,2024-08-01,546,N20,VIIRS,n,2,298.51,49.68,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,90.62312129463797,0.358,0.318,0.324,27.1
-0.06394,110.66689,329.74,0.5,0.41,2024-08-01,546,N20,VIIRS,n,2,299.13,49.68,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,90.61835521253909,0.358,0.318,0.324,27.1
0.19804,112.26433,336.75,0.42,0.38,2024-08-01,546,N20,VIIRS,n,2,294.03,4.73,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,89.06878323799204,0.358,0.318,0.324,27.1
0.19746,112.26048,333.13,0.42,0.38,2024-08-01,546,N20,VIIRS,n,2,294.62,4.73,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,88.63668481566712,0.358,0.318,0.324,27.1
-0.11809,110.18546,333.32,0.54,0.42,2024-08-01,546,N20,VIIRS,n,2,295.03,17.33,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Pontianak,Kalimantan Barat,94.12164907389695,0.357,0.253,0.305,27.0
0.85471,116.58498,329.29,0.43,0.38,2024-08-01,546,N20,VIIRS,n,2,294.81,3.19,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Samarinda,Kalimantan Timur,162.1220851759086,0.386,0.381,0.382,27.2
0.06664,110.7859,332.09,0.5,0.41,2024-08-01,546,N20,VIIRS,n,2,295.86,3.37,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,76.29090624202684,0.358,0.318,0.324,27.1
-0.12004,109.54286,336.52,0.39,0.44,2024-08-01,546,N20,VIIRS,n,2,292.47,5.2,D,0,KHG_KB_02,KHG S. Ambawang - S. Landak,KALIMANTAN BARAT,Kubu Raya,Dalam (200-300 cm),260,Fungsi Budidaya Ekosistem Gambut,94310.0,1,1.25,Pontianak,Kalimantan Barat,24.553670992770446,0.357,0.253,0.305,27.0
0.45808,112.99013,333.99,0.4,0.37,2024-08-01,546,N20,VIIRS,n,2,292.72,3.49,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,173.97119261887252,0.358,0.318,0.324,27.1
0.15947,110.92432,334.59,0.49,0.4,2024-08-01,546,N20,VIIRS,n,2,297.38,15.35,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,61.842330776382056,0.358,0.318,0.324,27.1
0.0813,110.39942,329.23,0.52,0.42,2024-08-01,546,N20,VIIRS,n,2,292.38,4.13,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Pontianak,Kalimantan Barat,117.92451340283128,0.357,0.253,0.305,27.0
0.16316,110.92377,333.84,0.49,0.4,2024-08-01,546,N20,VIIRS,n,2,296.45,6.48,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,61.973982243135815,0.358,0.318,0.324,27.1
0.16237,110.92505,333.58,0.49,0.4,2024-08-01,546,N20,VIIRS,n,2,298.15,17.11,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,61.81860601672843,0.358,0.318,0.324,27.1
